row,lat,lon,speed,timestamp,sound,luminosity,lux,ir,vibration,altitude
90,51.646484,7.272280,12.83,02/07/2016 16:54:59 ,24,611,3,398,1.0354,543.32
91,51.646511,7.272312,12.83,02/07/2016 16:55:00 ,579,669,4,393,0.8608,542.27
92,51.646545,7.272348,13.52,02/07/2016 16:55:01 ,551,1026,7,425,1.0071,542.79
93,51.646568,7.272380,13.52,02/07/2016 16:55:02 ,24,678,3,543,1.0691,543.06
94,51.646602,7.272417,13.52,02/07/2016 16:55:03 ,24,715,4,445,0.9182,542.01
95,51.646602,7.272417,14.20,02/07/2016 16:55:03 ,24,580,2,432,0.7397,542.79
96,51.646636,7.272450,14.19,02/07/2016 16:55:04 ,469,626,3,371,0.8718,541.22
97,51.646671,7.272482,15.20,02/07/2016 16:55:05 ,769,619,3,388,1.2820,541.74
98,51.646705,7.272512,15.20,02/07/2016 16:55:06 ,222,591,3,392,1.3792,541.22
99,51.646739,7.272543,14.74,02/07/2016 16:55:07 ,24,560,2,378,0.9272,541.22
100,51.646774,7.272573,14.74,02/07/2016 16:55:08 ,24,580,3,360,0.8108,541.48
101,51.646808,7.272597,14.74,02/07/2016 16:55:09 ,90,619,3,367,0.8726,540.51
102,51.646808,7.272597,12.39,02/07/2016 16:55:09 ,24,631,3,393,0.9309,541.04
103,51.646835,7.272633,13.50,02/07/2016 16:55:10 ,24,576,2,407,1.0701,541.48
104,51.646869,7.272667,13.50,02/07/2016 16:55:11 ,54,633,3,373,0.8176,540.25
105,51.646888,7.272708,13.50,02/07/2016 16:55:12 ,24,626,3,408,1.2654,541.04
106,51.646900,7.272763,14.59,02/07/2016 16:55:13 ,24,696,4,407,1.3159,540.25
107,51.646896,7.272825,14.59,02/07/2016 16:55:14 ,427,680,3,449,1.0596,539.99
108,51.646884,7.272890,16.59,02/07/2016 16:55:15 ,769,584,2,422,1.0903,539.20
109,51.646873,7.272955,16.59,02/07/2016 16:55:16 ,24,638,4,365,1.0540,538.41
110,51.646854,7.273023,16.59,02/07/2016 16:55:17 ,769,622,3,385,1.1677,538.67
111,51.646846,7.273092,16.59,02/07/2016 16:55:18 ,38,707,4,394,0.9851,538.15
112,51.646839,7.273165,16.59,02/07/2016 16:55:19 ,24,660,3,438,1.0688,538.67
113,51.646827,7.273238,16.59,02/07/2016 16:55:20 ,175,785,4,418,1.0059,536.83
114,51.646816,7.273313,16.59,02/07/2016 16:55:21 ,156,675,5,426,1.0486,536.83
115,51.646808,7.273388,19.21,02/07/2016 16:55:22 ,24,775,5,399,0.9194,537.09
116,51.646800,7.273465,19.21,02/07/2016 16:55:23 ,769,688,4,427,0.9468,536.04
117,51.646789,7.273540,19.21,02/07/2016 16:55:24 ,24,645,3,419,1.2371,536.57
118,51.646778,7.273618,19.21,02/07/2016 16:55:25 ,24,601,2,412,1.0708,534.73
119,51.646770,7.273698,19.21,02/07/2016 16:55:26 ,24,559,2,381,1.0515,536.04
120,51.646766,7.273778,20.17,02/07/2016 16:55:27 ,658,904,7,345,1.0266,535.25
121,51.646759,7.273858,20.17,02/07/2016 16:55:28 ,24,678,2,447,1.3259,534.29
122,51.646751,7.273940,19.96,02/07/2016 16:55:29 ,24,672,4,398,0.9653,533.50
123,51.646747,7.274022,19.96,02/07/2016 16:55:30 ,769,668,4,413,1.2361,533.24
124,51.646739,7.274103,20.33,02/07/2016 16:55:31 ,106,768,4,429,0.7383,532.97
125,51.646736,7.274187,20.33,02/07/2016 16:55:32 ,496,911,6,421,0.8606,533.50
126,51.646732,7.274272,20.33,02/07/2016 16:55:33 ,558,663,2,456,1.1245,532.97
127,51.646732,7.274357,20.33,02/07/2016 16:55:34 ,440,675,4,404,0.9724,532.18
128,51.646728,7.274440,20.33,02/07/2016 16:55:35 ,152,631,3,427,0.9746,531.13
129,51.646728,7.274523,20.09,02/07/2016 16:55:36 ,769,582,2,406,0.9053,530.87
130,51.646724,7.274605,20.09,02/07/2016 16:55:37 ,24,736,4,365,0.9878,530.87
131,51.646724,7.274688,20.11,02/07/2016 16:55:38 ,24,672,3,404,0.7451,530.35
132,51.646724,7.274770,20.11,02/07/2016 16:55:39 ,24,798,5,396,1.3352,529.29
133,51.646724,7.274850,20.11,02/07/2016 16:55:40 ,215,635,2,454,0.8735,529.03
134,51.646724,7.274930,20.11,02/07/2016 16:55:41 ,461,593,3,400,1.2009,528.85
135,51.646724,7.275015,20.11,02/07/2016 16:55:42 ,554,592,3,372,1.0928,528.07
136,51.646728,7.275097,20.26,02/07/2016 16:55:43 ,170,929,7,359,0.9243,528.33
137,51.646736,7.275180,20.26,02/07/2016 16:55:44 ,769,615,2,452,1.1001,528.33
138,51.646743,7.275262,20.24,02/07/2016 16:55:45 ,24,627,3,369,1.0337,527.28
139,51.646743,7.275345,20.24,02/07/2016 16:55:46 ,25,611,3,387,0.7549,526.75
140,51.646747,7.275430,20.24,02/07/2016 16:55:47 ,24,600,3,384,0.7776,527.02
141,51.646747,7.275430,20.80,02/07/2016 16:55:47 ,769,608,3,374,0.9614,526.75
142,51.646751,7.275512,20.69,02/07/2016 16:55:48 ,514,794,5,374,1.3384,526.49
143,51.646751,7.275597,20.69,02/07/2016 16:55:49 ,25,747,6,433,0.5681,525.96
144,51.646755,7.275680,20.69,02/07/2016 16:55:50 ,556,799,4,437,1.3674,525.96
145,51.646759,7.275763,20.26,02/07/2016 16:55:51 ,24,623,2,447,0.9568,525.70
146,51.646762,7.275847,20.26,02/07/2016 16:55:52 ,24,545,2,392,0.9172,524.65
147,51.646766,7.275932,20.26,02/07/2016 16:55:53 ,25,528,2,347,1.0762,524.39
148,51.646766,7.275932,20.41,02/07/2016 16:55:53 ,768,590,3,332,1.1145,523.60
149,51.646766,7.276012,20.32,02/07/2016 16:55:54 ,24,681,4,351,0.7827,523.60
150,51.646774,7.276095,20.32,02/07/2016 16:55:55 ,24,582,3,387,1.0552,523.08
151,51.646774,7.276180,20.32,02/07/2016 16:55:56 ,305,564,3,372,0.9651,523.60
152,51.646778,7.276262,20.32,02/07/2016 16:55:57 ,768,496,2,358,0.8374,523.60
153,51.646785,7.276345,20.32,02/07/2016 16:55:58 ,710,554,3,314,1.0635,521.59
154,51.646785,7.276430,20.32,02/07/2016 16:55:59 ,188,574,3,333,0.9016,521.85
155,51.646785,7.276430,20.43,02/07/2016 16:55:59 ,283,680,4,355,1.0098,521.32
156,51.646785,7.276515,20.41,02/07/2016 16:56:00 ,24,708,4,399,0.8738,521.06
157,51.646785,7.276598,20.41,02/07/2016 16:56:01 ,25,666,3,413,1.0249,520.28
158,51.646785,7.276685,20.41,02/07/2016 16:56:02 ,309,628,3,395,1.1272,520.54
159,51.646774,7.276770,20.65,02/07/2016 16:56:03 ,242,638,3,379,1.1697,520.28
160,51.646770,7.276852,20.65,02/07/2016 16:56:04 ,25,766,3,390,1.0950,518.70
161,51.646759,7.276930,19.80,02/07/2016 16:56:05 ,446,1522,14,436,0.8928,518.44
162,51.646747,7.277007,19.80,02/07/2016 16:56:06 ,25,1261,0,852,0.8633,518.70
163,51.646728,7.277082,19.80,02/07/2016 16:56:07 ,355,727,0,678,0.9226,517.39
164,51.646694,7.277147,19.80,02/07/2016 16:56:08 ,767,270,0,437,1.0925,517.12
165,51.646663,7.277205,19.80,02/07/2016 16:56:09 ,25,279,0,200,1.1345,516.86
166,51.646625,7.277248,19.80,02/07/2016 16:56:10 ,426,504,5,162,1.0044,515.29
167,51.646591,7.277283,19.80,02/07/2016 16:56:11 ,767,717,6,265,1.1470,515.81
168,51.646553,7.277303,14.13,02/07/2016 16:56:12 ,25,493,2,334,0.9067,516.07
169,51.646507,7.277323,14.13,02/07/2016 16:56:13 ,767,463,2,283,1.1499,514.85
170,51.646461,7.277347,14.13,02/07/2016 16:56:14 ,25,2115,14,269,1.1577,514.41
171,51.646461,7.277347,19.04,02/07/2016 16:56:14 ,416,565,0,571,0.7549,514.15
172,51.646408,7.277367,19.19,02/07/2016 16:56:15 ,24,723,6,289,1.0613,514.15
173,51.646358,7.277380,19.19,02/07/2016 16:56:16 ,767,521,2,336,0.7751,513.36
174,51.646312,7.277393,19.19,02/07/2016 16:56:17 ,767,471,2,280,1.3804,513.10
175,51.646255,7.277410,19.35,02/07/2016 16:56:18 ,25,1247,3,267,1.0522,512.57
176,51.646209,7.277430,19.35,02/07/2016 16:56:19 ,25,956,6,449,1.1599,512.05
177,51.646156,7.277447,18.65,02/07/2016 16:56:20 ,25,524,1,415,1.0898,511.79
178,51.646102,7.277463,18.65,02/07/2016 16:56:21 ,25,452,2,293,0.9397,511.00
179,51.646049,7.277482,18.65,02/07/2016 16:56:22 ,767,450,2,268,-0.0090,510.74
180,51.645999,7.277500,18.65,02/07/2016 16:56:23 ,451,1165,4,268,1.1287,509.95
181,51.645942,7.277518,18.65,02/07/2016 16:56:24 ,25,815,5,420,1.0637,509.69
