row,lat,lon,speed,timestamp,sound,luminosity,lux,ir,vibration,altitude
100,51.956436,7.637050,0.00,02/09/2016 08:35:30,389,0,4294967199,37888,0.9734,515.29
101,51.956432,7.637095,11.15,02/09/2016 08:35:31,684,0,4294967199,37888,1.1726,514.41
102,51.956428,7.637145,11.15,02/09/2016 08:35:32,16,0,4294967199,37888,1.0125,514.85
103,51.956424,7.637197,11.76,02/09/2016 08:35:33,757,0,4294967199,37888,1.1545,514.15
104,51.956409,7.637242,11.76,02/09/2016 08:35:34,16,0,4294967199,37888,1.2590,514.67
105,51.956386,7.637275,11.76,02/09/2016 08:35:35,757,0,4294967199,37888,0.8704,515.02
106,51.956359,7.637295,11.76,02/09/2016 08:35:36,210,0,4294967199,37888,1.0195,514.15
107,51.956333,7.637300,11.76,02/09/2016 08:35:37,622,0,4294967199,37888,0.9624,513.36
108,51.956302,7.637303,11.32,02/09/2016 08:35:38,16,0,4294967199,37888,0.8936,513.89
109,51.956275,7.637308,11.32,02/09/2016 08:35:39,366,0,4294967199,37888,1.0283,514.15
110,51.956249,7.637312,10.41,02/09/2016 08:35:40,755,0,4294967199,37888,0.9360,513.36
111,51.956222,7.637312,10.41,02/09/2016 08:35:41,16,0,4294967199,37888,0.8813,514.15
112,51.956195,7.637308,10.41,02/09/2016 08:35:42,16,0,4294967199,37888,0.9463,513.62
113,51.956169,7.637303,10.41,02/09/2016 08:35:43,140,0,4294967199,37888,0.8096,512.84
114,51.956138,7.637302,10.41,02/09/2016 08:35:44,16,0,4294967199,37888,0.8059,513.10
115,51.956108,7.637297,13.74,02/09/2016 08:35:45,16,0,4294967199,37888,1.0803,513.36
116,51.956073,7.637285,13.74,02/09/2016 08:35:46,758,0,4294967199,37888,1.2075,513.36
117,51.956031,7.637268,15.87,02/09/2016 08:35:47,16,0,4294967199,37888,0.1282,512.31
118,51.955997,7.637242,15.87,02/09/2016 08:35:48,301,0,4294967199,37888,1.4575,513.10
119,51.955966,7.637202,14.24,02/09/2016 08:35:49,759,0,4294967199,37888,0.5923,513.10
120,51.955951,7.637148,14.24,02/09/2016 08:35:50,638,0,4294967199,37888,0.4641,512.84
121,51.955944,7.637083,14.24,02/09/2016 08:35:51,757,0,4294967199,37888,1.1421,513.10
122,51.955940,7.637015,17.39,02/09/2016 08:35:52,719,0,4294967199,37888,1.2476,512.57
123,51.955936,7.636945,17.39,02/09/2016 08:35:53,380,0,4294967199,37888,0.8440,512.31
124,51.955936,7.636873,17.61,02/09/2016 08:35:54,757,0,4294967199,37888,1.5857,512.05
125,51.955928,7.636807,17.61,02/09/2016 08:35:55,16,0,4294967199,37888,0.8704,513.10
126,51.955924,7.636740,17.28,02/09/2016 08:35:56,16,0,4294967199,37888,1.0647,512.84
127,51.955928,7.636670,17.28,02/09/2016 08:35:57,16,0,4294967199,37888,0.8694,512.05
128,51.955936,7.636600,17.28,02/09/2016 08:35:58,738,0,4294967199,37888,1.3215,511.26
129,51.955940,7.636533,17.28,02/09/2016 08:35:59,758,0,4294967199,37888,0.8752,511.52
