row,lat,lon,speed,timestamp,sound,brightness,vibration,altitude
2,51.957462,7.637253,0.50,01/19/2016 12:56:05 ,61,2771,0.00,235.39
3,51.957462,7.637252,0.06,01/19/2016 12:56:06 ,120,1475,0.00,234.20
4,51.957473,7.637242,0.56,01/19/2016 12:56:07 ,94,1515,0.00,233.69
5,51.957473,7.637242,0.39,01/19/2016 12:56:08 ,53,1457,0.00,232.16
6,51.957477,7.637243,0.33,01/19/2016 12:56:09 ,8,2119,0.00,232.41
7,51.957473,7.637242,0.56,01/19/2016 12:56:11 ,218,2752,0.00,230.88
8,51.957466,7.637245,0.44,01/19/2016 12:56:12 ,191,6437,1.14,231.90
9,51.957462,7.637250,0.17,01/19/2016 12:56:13 ,260,2212,1.14,234.97
10,51.957462,7.637255,0.17,01/19/2016 12:56:14 ,10,2481,0.36,233.18
11,51.957454,7.637257,0.06,01/19/2016 12:56:15 ,237,325,0.62,234.20
12,51.957450,7.637262,0.24,01/19/2016 12:56:16 ,8,2414,0.89,233.69
13,51.957447,7.637268,0.50,01/19/2016 12:56:17 ,285,2133,0.77,233.18
14,51.957447,7.637273,0.19,01/19/2016 12:56:18 ,264,1428,0.84,234.20
15,51.957443,7.637275,0.09,01/19/2016 12:56:19 ,9,2730,0.63,232.92
16,51.957439,7.637272,0.19,01/19/2016 12:56:20 ,9,779,1.08,234.20
17,51.957439,7.637270,0.22,01/19/2016 12:56:21 ,122,568,1.05,233.43
18,51.957439,7.637263,0.06,01/19/2016 12:56:23 ,9,362,1.16,234.20
19,51.957439,7.637260,0.39,01/19/2016 12:56:24 ,164,3156,1.00,233.69
20,51.957443,7.637258,0.46,01/19/2016 12:56:25 ,108,387,0.97,233.43
21,51.957439,7.637257,0.46,01/19/2016 12:56:26 ,127,1619,0.39,233.18
22,51.957439,7.637257,0.33,01/19/2016 12:56:27 ,437,16,0.92,233.18
23,51.957439,7.637255,0.78,01/19/2016 12:56:28 ,9,174,0.39,232.41
24,51.957443,7.637255,0.31,01/19/2016 12:56:29 ,8,51,0.78,232.16
25,51.957443,7.637257,0.11,01/19/2016 12:56:30 ,46,13,0.30,233.18
26,51.957447,7.637255,0.30,01/19/2016 12:56:31 ,122,13,0.90,232.41
